n,density,symmetric,norm,method,solver,est,ref,rel_err,sec,ok,error,finite_err,finite_sec,comparable
408,0.05,False,1,monte-carlo,auto,4176.833144091335,41147.064162236034,0.8984901297545123,8.780333897098899,True,,True,True,True
408,0.05,False,1,monte-carlo,lu,3993.4902277881224,41147.064162236034,0.9029459255697454,8.806921255774796,True,,True,True,True
408,0.05,False,1,monte-carlo,lsmr,4176.833063152744,41147.064162236034,0.8984901317215687,8.810600500088185,True,,True,True,True
408,0.05,False,1,monte-carlo,cg,2636.5004566944526,41147.064162236034,0.9359249436047449,8.810749541968107,True,,True,True,True
408,0.05,False,1,monte-carlo,gmres,3490.073439484473,41147.064162236034,0.9151804992520562,8.787601176649332,True,,True,True,True
408,0.05,False,1,monte-carlo,direct,4256.587129130123,41147.064162236034,0.8965518630357902,8.814459627959877,True,,True,True,True
408,0.05,False,2,power,,9.573550971917827,1888.799928370335,0.9949314107714002,2.819937421940267,True,,True,True,True
408,0.05,False,2,lanczos,,131.06472387504553,1888.799928370335,0.9306095251771167,0.061568852979689837,True,,True,True,True
408,0.05,False,2,lanczos_unsym,,105.05754577862584,1888.799928370335,0.9443786797105239,0.08999512903392315,True,,True,True,True
408,0.05,False,2,golub-kahan,,136.99428769481253,1888.799928370335,0.9274701964791942,0.3729133349843323,True,,True,True,True
408,0.05,False,2,svds,,131.12192066192074,1888.799928370335,0.9305792430990543,0.08471846720203757,True,,True,True,True
408,0.05,False,2,eigsh,,90.72210342254309,1888.799928370335,0.9519683889967009,0.08810898195952177,True,,True,True,True
408,0.05,False,2,lobpcg,,1.060872789006827,1888.799928370335,0.9994383350120506,0.127318168990314,True,,True,True,True
489,0.05,False,1,hager,auto,23125.312965820707,72158.3759695001,0.6795200466319349,0.1281143673695624,True,,True,True,True
489,0.05,False,1,hager,lu,23125.312965820707,72158.3759695001,0.6795200466319349,0.12211388442665339,True,,True,True,True
489,0.05,False,1,hager,lsmr,697.1444643076104,72158.3759695001,0.9903386896539595,0.21580865094438195,True,,True,True,True
489,0.05,False,1,hager,cg,1.074893341340912e+19,72158.3759695001,148963072810180.84,0.19519038312137127,True,,True,True,True
489,0.05,False,1,hager,gmres,40.50771835605587,72158.3759695001,0.999438627632457,0.2785030547529459,True,,True,True,True
489,0.05,False,1,hager,direct,23125.312965815836,72158.3759695001,0.6795200466320024,0.20499139605090022,True,,True,True,True
489,0.05,False,1,hager-higham,auto,23125.312965820704,72158.3759695001,0.6795200466319349,0.12914730282500386,True,,True,True,True
489,0.05,False,1,hager-higham,lu,23125.312965820704,72158.3759695001,0.6795200466319349,0.1260035070590675,True,,True,True,True
489,0.05,False,1,hager-higham,lsmr,21.037173980219148,72158.3759695001,0.999708458322439,0.21848412929102778,True,,True,True,True
489,0.05,False,1,hager-higham,cg,,72158.3759695001,,5.791765281930566,True,,False,True,False
489,0.05,False,1,hager-higham,gmres,40.50771835605587,72158.3759695001,0.999438627632457,0.22637787275016308,True,,True,True,True
489,0.05,False,1,hager-higham,direct,23125.312965815832,72158.3759695001,0.6795200466320025,0.2676440281793475,True,,True,True,True
489,0.05,False,1,power,auto,380.77801863655714,72158.3759695001,0.9947230239938119,0.16692581120878458,True,,True,True,True
489,0.05,False,1,power,lu,341.73577565114755,72158.3759695001,0.9952640872101169,0.16540589230135083,True,,True,True,True
489,0.05,False,1,power,lsmr,28.059079243804078,72158.3759695001,0.999611145915262,2.7517630588263273,True,,True,True,True
